"WB"	"min"	"max"	"value"	"n"	"Indicator"	"Unit"	"type"	"Kysttype"	"Salinitet"	"SalinityClass"	"Match"	"MatchValue"	"Region"	"Kvalitetselement"	"Indikator"	"NotUsed"	"Ref"	"HG"	"GM"	"MP"	"PB"	"Worst"	"ClassID"	"EQR"	"Class"
"0110020600-C"	6.73123529897286	7.17769941114462	6.86012948467754	10	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0110020800-1-C"	6.88065858529164	7.12989611178637	6.98659814951511	8	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0110020800-2-C"	7.24194478816711	7.24194478816711	7.24194478816711	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0110021000-1-C"	7.1676825686143	7.94736368839557	7.55686173444757	8	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0110021000-2-C"	7.56195712318787	7.56195712318787	7.56195712318787	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0110021101-1-C"	8.10074824897142	9.89168988569425	8.5167406868367	21	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0110021101-2-C"	8.08102863052717	8.08102863052717	8.08102863052717	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0110021200-C"	7.10821740386578	7.28539297213921	7.20030263925974	3	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000030-C"	6.54238774455511	7.32437600883154	6.69248546636749	84	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000031-1-C"	6.47417364097559	6.70208940540369	6.56522269419227	96	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000031-2-C"	6.42893438213147	6.53464002506091	6.49054360554482	8	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000031-3-C"	6.42609805900317	6.44721164439733	6.43665485170025	2	"NH4_summer"	"[µg-N/l]"	""	"Moderat eksponert kyst"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000032-3-C"	6.47851704003719	8.12528249965264	6.67639493889042	98	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000032-4-C"	6.51259751445972	6.51259751445972	6.51259751445972	1	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000033-C"	6.50855774489733	6.50855774489733	6.50855774489733	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120000034-C"	7.40847793851907	10.2369719296694	8.38445625834904	14	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120010101-1-C"	6.21269576251507	6.21269576251507	6.21269576251507	1	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0120010101-2-C"	6.21743315171737	6.31072289611285	6.26450763356227	4	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120010102-C"	6.33082588876669	6.42894839323484	6.38583664180568	4	"NH4_summer"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120010201-C"	6.07660979089829	6.19493658611408	6.1378075053746	11	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0120010300-1-C"	6.44960160324207	6.44960160324207	6.44960160324207	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120010300-4-C"	6.45048551490674	6.65378102029745	6.54325918499858	12	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120010400-C"	7.15532564543761	7.7212266761523	7.50412171419997	4	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120010502-1-C"	8.34193384876618	11.5607846161494	9.59388509001105	6	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Mesohalin (5 - 18)"	"5"	"SalinityClass"	"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"0120020100-1-C"	6.54426951247912	6.61938891387903	6.58324231872192	5	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020100-2-C"	6.50170736530652	6.52268010034011	6.50996855173547	4	"NH4_summer"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020201-C"	6.34650523100908	6.42603768408298	6.38326935854914	7	"NH4_summer"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020203-C"	6.41509597977767	6.41509597977767	6.41509597977767	1	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020300-C"	6.35229733987496	6.35229733987496	6.35229733987496	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020400-1-C"	6.31444361290106	6.40040089361943	6.35879048088995	4	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020400-2-C"	6.28147646383597	6.30125197252402	6.29136421818	2	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120020600-C"	6.38349538353773	6.40407621344695	6.39227566485986	3	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030100-C"	6.40238927132808	6.43445591628551	6.4184225938068	2	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030201-1-C"	6.46225318427269	6.46548251693065	6.46386785060167	2	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030201-2-C"	6.34050433738874	6.44008219585969	6.38760714770223	8	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030203-1-C"	6.64121123861808	6.64121123861808	6.64121123861808	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030203-2-C"	6.39097228588966	6.545013930362	6.48745156953541	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030204-C"	6.84877599661167	7.91605241252826	7.18985755755924	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030500-1-C"	7.46536684494752	13.6520361281358	10.7073649061414	5	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030500-2-C"	7.30456031400424	7.30456031400424	7.30456031400424	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0120030600-1-C"	6.77472118689464	6.77472118689464	6.77472118689464	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000030-C"	6.5227268538796	7.11329680910477	6.61969808058788	126	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000031-C"	6.70838647794265	7.23515729892712	6.88788987191824	25	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000032-C"	6.44076628753772	6.5239576072647	6.49478337286502	162	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000033-C"	6.46816233660166	6.49599900612464	6.48622405452606	3	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000300-1-C"	6.54024776988305	6.56325376091095	6.55296460464597	10	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000300-2-C"	6.54817566963342	6.55623024530136	6.55220295746739	2	"NH4_summer"	"[µg-N/l]"	""	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121000700-C"	6.53708520818215	6.54664014050594	6.54186267434404	2	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121010100-C"	6.50113839312242	6.51829000677054	6.50862199655519	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121010300-C"	6.21720284395493	6.25574415864853	6.23159936777292	3	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121010400-2-C"	6.37275646684261	6.51041739548628	6.4593358653096	10	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121020202-C"	6.33994418955766	6.38552815237871	6.36586779883275	5	"NH4_summer"	"[µg-N/l]"	""	"Beskyttet kyst/fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121020400-C"	6.49346961023716	6.4948874012782	6.49417850575768	2	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121020500-1-C"	6.46596512542321	6.46913273919087	6.46754893230704	2	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0121020500-2-C"	6.47288474497887	6.47552898640816	6.47420686569351	2	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000030-1-C"	6.45375951952659	7.73877255790509	6.85048992009499	150	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000031-1-C"	6.95874588764631	7.80896135648856	7.29833803189224	13	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000031-4-C"	7.0488987788558	7.63850725442171	7.30102553056219	6	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000102-1-C"	6.41784770901387	6.43291831933535	6.42461141351706	3	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000102-2-C"	6.4294937642721	6.46594471885608	6.44898712520416	7	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000200-1-C"	7.39249131312737	7.39249131312737	7.39249131312737	1	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130000300-C"	6.96979391116362	7.0169076105723	7.0010987760929	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010201-C"	6.48060321635925	6.51185756291335	6.4948166102553	3	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010301-1-C"	7.58403479193266	8.37049769552854	7.98117209210811	19	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010301-2-C"	8.45480376768571	14.0147892832756	9.73837065912865	35	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010302-2-C"	9.44809443962115	9.80597820362219	9.62869414701485	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010400-1-C"	10.5242333950905	14.1964511412841	11.424292309353	14	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010400-2-C"	10.6045792607161	10.6045792607161	10.6045792607161	1	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010500-C"	10.5692557875927	11.4362773774908	10.9499482302329	3	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0130010700-C"	8.07434266633712	9.08300923728026	8.46433566327278	5	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131000030-C"	6.5712207664664	6.83179021225526	6.61344974822967	122	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131010100-1-C"	6.60321237605352	6.72257282642218	6.64954257384642	41	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131010100-2-C"	6.59382402381072	6.74578374108443	6.64502237995084	16	"NH4_summer"	"[µg-N/l]"	"S2"	"Moderat eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131010200-C"	6.68067687234053	6.69096318746989	6.68589212716772	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131020201-C"	6.73113180926213	6.99042584632452	6.82706770243553	4	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131020202-C"	6.58480433947765	6.70993616890449	6.61592880625537	21	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131020300-C"	6.59019573032856	6.88716559112072	6.70742022360747	16	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0131020400-C"	6.96113349153445	7.18092248932673	7.08928429411772	3	"NH4_summer"	"[µg-N/l]"	""	"Oksygenfattig fjord"	"Polyhalin (18 - 30)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0132000030-C"	6.48436850939806	7.47005751385139	6.61606516948098	304	"NH4_summer"	"[µg-N/l]"	"S1"	"Åpen eksponert kyst"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
"0132010100-C"	7.04929727602464	11.9148347549714	8.17495205423095	26	"NH4_summer"	"[µg-N/l]"	"S3"	"Beskyttet kyst/fjord"	"Skagerak (> 25)"	">18"	"SalinityClass"	">18"	""	"Fysisk-kjemiske"	"Ammonium-nitrogen (µg N/l), sommer"	NA	NA	19	50	200	325	NA	5	0.9	"High"
