"EUVannfore";"Vannforeko";"Vannfore_1";"Vannregion";"Vannregi_1";"Salinity";"Type"
"NO0201011300-C";"0201011300-C";"Framvaren";"Agder";"Agder";NA;NA
"NO0120030600-1-C";"0120030600-1-C";"Hovekilen-ytre";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0110000600-C";"0110000600-C";"Trosbyfjorden";"Buskerud";"Vest-Viken";NA;NA
"NO0121020400-C";"0121020400-C";"Røynevardsfjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0101021000-C";"0101021000-1-C";"Breiangen-vest";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0101021000-C";"0101021000-2-C";"Langøya";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0120030300-C";"0120030300-C";"Hølen";"Agder";"Agder";NA;NA
"NO0110021000-2-C";"0110021000-2-C";"Kragerøfjorden-indre";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0120010502-1-C";"0120010502-1-C";"Sandesfjorden";"Agder";"Agder";"Mesohalin (5 - 18)";NA
"NO0120020400-1-C";"0120020400-1-C";"Oksefjorden-ytre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0120000034-C";"0120000034-C";"Merdø - Hasseltangen";"Agder";"Agder";"Skagerak (> 25)";"S2"
"NO0101030101-3-C";"0101030101-3-C";"Byfjorden";"Buskerud";"Vest-Viken";"Skagerak (5 - 25)";"S5"
"NO0110010300-C";"0110010300-C";"Håøyafjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0110020900-C";"0110020900-C";"Hellefjorden";"Buskerud";"Vest-Viken";NA;NA
"NO0101010303-C";"0101010303-C";"Røsneskilen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0101010301-C";"0101010301-C";"Singlefjorden";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0240000100-C";"0240000100-C";"Jøssingfjord";"Rogaland";"Rogaland";NA;NA
"NO0130010400-3-C";"0130010400-3-C";"Kongsgårdbukta - Marviksbukta";"Agder";"Agder";NA;NA
"NO0130010400-2-C";"0130010400-2-C";"Topdalsfjorden-ytre";"Agder";"Agder";"Polyhalin (18 - 30)";NA
"NO0130000030-1-C";"0130000030-1-C";"Kristiansandsfjorden-ytre";"Agder";"Agder";"Skagerak (> 25)";"S1"
"NO0120020501-C";"0120020501-C";"Tvedestrandsfjorden";"Agder";"Agder";NA;NA
"NO0130000030-2-C";"0130000030-2-C";"Kristiansandsfjorden - Mebø";"Agder";"Agder";NA;NA
"NO0240000200-C";"0240000200-C";"Dyngadypet";"Rogaland";"Rogaland";NA;NA
"NO0132030500-C";"0132030500-C";"Njervefjorden";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0201010200-C";"0201010200-C";"Grønsfjorden";"Agder";"Agder";"Polyhalin (18 - 30)";"N4"
"NO0101040100-C";"0101040100-C";"Mefjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0110020500-C";"0110020500-C";"Langårdssund";"Buskerud";"Vest-Viken";NA;NA
"NO0240000030-C";"0240000030-C";"Dyngjadypet - Sirevåg";"Rogaland";"Rogaland";NA;NA
"NO0110000400-C";"0110000400-C";"Åbyfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0130010600-C";"0130010600-C";"Drangsvatna";"Agder";"Agder";NA;NA
"NO0130000101-C";"0130000101-C";"Kvåsefjorden-indre";"Agder";"Agder";NA;NA
"NO0121000300-2-C";"0121000300-2-C";"Grosfjord-ytre";"Agder";"Agder";"Skagerak (> 25)";NA
"NO0110021101-1-C";"0110021101-1-C";"Kilsfjorden";"Buskerud";"Vest-Viken";"Mesohalin (5 - 18)";NA
"NO0120010201-C";"0120010201-C";"Sørfjorden-vestre";"Agder";"Agder";"Mesohalin (5 - 18)";NA
"NO0201020600-C";"0201020600-C";"Grisefjorden";"Agder";"Agder";NA;NA
"NO0101010408-C";"0101010408-C";"Løperen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0101000031-C";"0101000031-C";"Svenner - Rauer";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S1"
"NO0101040500-C";"0101040500-C";"Naverfjorden";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S2"
"NO0121010100-C";"0121010100-C";"Homborsund";"Agder";"Agder";"Skagerak (> 25)";"S3"
"NO0101030700-C";"0101030700-C";"Vrengen";"Buskerud";"Vest-Viken";"Skagerak (> 25)";"S3"
"NO0101010302-C";"0101010302-C";"Svalerødkilen";"Østfold";"Glomma";"Skagerak (> 25)";"S3"
"NO0110010802-C";"0110010802-C";"Langesundsfjorden - Dypingen";"Buskerud";"Vest-Viken";"Skagerak (> 25)";NA
