"version";"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting";"sup_sommer";"sup_vinter";"sup_org"
"2018";"0101010401-C";"2017-2019";"Scenario B";0.559971435482662;NA;0.559971435482662;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010405-C";"2017-2019";"baseline";0.533286020987602;NA;0.533286020987602;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010405-C";"2017-2019";"Pristine";0.595456881603653;NA;0.595456881603653;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010405-C";"2017-2019";"Scenario A";0.555559903780301;NA;0.555559903780301;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010405-C";"2017-2019";"Scenario B";0.570266754986432;NA;0.570266754986432;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010406-C";"2017-2019";"baseline";0.532752533753713;NA;0.532752533753713;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010406-C";"2017-2019";"Pristine";0.521638621886571;NA;0.521638621886571;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010406-C";"2017-2019";"Scenario A";0.545571168263753;NA;0.545571168263753;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010406-C";"2017-2019";"Scenario B";0.531775961319605;NA;0.531775961319605;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010407-C";"2017-2019";"baseline";0.532341027342101;NA;0.532341027342101;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101010407-C";"2017-2019";"Pristine";0.569989890607675;NA;0.569989890607675;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101010407-C";"2017-2019";"Scenario A";0.557373321875443;NA;0.557373321875443;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101010407-C";"2017-2019";"Scenario B";0.566047649464081;NA;0.566047649464081;"Mod";"Makroalger";NA;NA;NA;NA
"2018";"0101010408-C";"2017-2019";"baseline";0.544828886923588;NA;0.544828886923588;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010408-C";"2017-2019";"Pristine";0.615348603333889;NA;0.615348603333889;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010408-C";"2017-2019";"Scenario A";0.564142375763815;NA;0.564142375763815;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010408-C";"2017-2019";"Scenario B";0.578712458417231;NA;0.578712458417231;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010500-C";"2017-2019";"baseline";0.573437458742729;NA;0.573437458742729;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010500-C";"2017-2019";"Pristine";0.630930972131231;NA;0.630930972131231;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010500-C";"2017-2019";"Scenario A";0.591088744633047;NA;0.591088744633047;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101010500-C";"2017-2019";"Scenario B";0.59866995421173;NA;0.59866995421173;"Mod";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-1-C";"2017-2019";"baseline";0.691581167286351;NA;0.691581167286351;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-1-C";"2017-2019";"Pristine";0.706617992472621;NA;0.706617992472621;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-1-C";"2017-2019";"Scenario A";0.719317626832194;NA;0.719317626832194;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-1-C";"2017-2019";"Scenario B";0.718228306889427;NA;0.718228306889427;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-2-C";"2017-2019";"baseline";0.685751443766832;NA;0.685751443766832;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-2-C";"2017-2019";"Pristine";0.707262929716486;NA;0.707262929716486;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-2-C";"2017-2019";"Scenario A";0.727821744464684;NA;0.727821744464684;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020101-2-C";"2017-2019";"Scenario B";0.726347531740754;NA;0.726347531740754;"Good";"Makroalger";"Eutrofiering";NA;NA;NA
"2018";"0101020102-1-C";"2017-2019";"baseline";0.644472579161326;NA;0.644472579161326;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-1-C";"2017-2019";"Pristine";0.719949762026469;NA;0.719949762026469;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-1-C";"2017-2019";"Scenario A";0.688470264275869;NA;0.688470264275869;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-1-C";"2017-2019";"Scenario B";0.70648850997289;NA;0.70648850997289;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-2-C";"2017-2019";"baseline";0.652367204561771;NA;0.652367204561771;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-2-C";"2017-2019";"Pristine";0.706166199691613;NA;0.706166199691613;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-2-C";"2017-2019";"Scenario A";0.671567100699989;NA;0.671567100699989;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020102-2-C";"2017-2019";"Scenario B";0.697754229367327;NA;0.697754229367327;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020104-C";"2017-2019";"baseline";0.701066721404604;NA;0.701066721404604;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020104-C";"2017-2019";"Pristine";0.7214428981376;NA;0.7214428981376;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020104-C";"2017-2019";"Scenario A";0.719176177050386;NA;0.719176177050386;"Good";"Makroalger";NA;NA;NA;NA
"2018";"0101020104-C";"2017-2019";"Scenario B";0.720312555362885;NA;0.720312555362885;"Good";"Makroalger";NA;NA;NA;NA
