"WB";"Period";"scenario";"Biological";"Supporting";"EQR";"Status";"Worst_Biological";"Worst_Supporting"
"0101010303-C";"2017-2019";"DIN100pc";0.742577775597509;0.79879526687476;0.742577775597509;"Good";"Planteplankton";"Siktdyp"
"0101010303-C";"2017-2019";"DINP100pc";0.741555570064523;0.812642126702675;0.741555570064523;"Good";"Planteplankton";"Siktdyp"
"0101010303-C";"2017-2019";"DINTSM100pc";0.754998266339191;0.827774772233448;0.754998266339191;"Good";"Planteplankton";"Oksygen"
"0101010303-C";"2017-2019";"NTSM100pc";0.767316145911412;0.831532138794735;0.767316145911412;"Good";"Planteplankton";"Oksygen"
"0101010303-C";"2017-2019";"Scenario A";0.714929903484543;0.694998085651194;0.714929903484543;"Good";"Planteplankton";"NO3-N vinter"
"0101010303-C";"2017-2019";"Scenario B";0.724703533237648;0.724139588909033;0.724703533237648;"Good";"Planteplankton";"NO3-N vinter"
"0101010304-C";"2017-2019";"baseline";0.649485969543457;0.657641891501491;0.649485969543457;"Good";"Planteplankton";"NO3-N vinter"
"0101010304-C";"2017-2019";"DIN100pc";0.71104351679484;0.815461126427702;0.71104351679484;"Good";"Planteplankton";"Siktdyp"
"0101010304-C";"2017-2019";"DINP100pc";0.711002635955811;0.834559971927482;0.711002635955811;"Good";"Planteplankton";"Siktdyp"
"0101010304-C";"2017-2019";"DINTSM100pc";0.731408468882243;0.840069721360929;0.731408468882243;"Good";"Planteplankton";"Siktdyp"
"0101010304-C";"2017-2019";"NTSM100pc";0.738667329152425;0.845663339003764;0.738667329152425;"Good";"Planteplankton";"Siktdyp"
"0101010304-C";"2017-2019";"Scenario A";0.67331018447876;0.693623229337097;0.67331018447876;"Good";"Planteplankton";"NO3-N vinter"
"0101010304-C";"2017-2019";"Scenario B";0.688138739267985;0.727998364171641;0.688138739267985;"Good";"Planteplankton";"NO3-N vinter"
"0101010305-C";"2017-2019";"baseline";0.642542607798346;0.632194998806618;0.642542607798346;"Good";"Planteplankton";"NO3-N vinter"
"0101010305-C";"2017-2019";"DIN100pc";0.692410032579867;0.77858320155138;0.692410032579867;"Good";"Planteplankton";"Siktdyp"
"0101010305-C";"2017-2019";"DINP100pc";0.700358106115621;0.78987124260154;0.700358106115621;"Good";"Planteplankton";"Siktdyp"
"0101010305-C";"2017-2019";"DINTSM100pc";0.722420439952115;0.810654464901746;0.722420439952115;"Good";"Planteplankton";"Siktdyp"
"0101010305-C";"2017-2019";"NTSM100pc";0.749145263420266;0.817759133984769;0.749145263420266;"Good";"Planteplankton";"Siktdyp"
"0101010305-C";"2017-2019";"Scenario A";0.673310568843676;0.665405098835247;0.673310568843676;"Good";"Planteplankton";"NO3-N vinter"
"0101010305-C";"2017-2019";"Scenario B";0.685400948675326;0.69410058691302;0.685400948675326;"Good";"Planteplankton";"NO3-N vinter"
"0101010306-C";"2017-2019";"baseline";0.688921371424969;0.690390299795496;0.688921371424969;"Good";"Planteplankton";"NO3-N sommer"
"0101010306-C";"2017-2019";"DIN100pc";0.739984602199723;0.82858155992974;0.739984602199723;"Good";"Planteplankton";"Siktdyp"
"0101010306-C";"2017-2019";"DINP100pc";0.740385437838614;0.840237983037518;0.740385437838614;"Good";"Planteplankton";"Siktdyp"
"0101010306-C";"2017-2019";"DINTSM100pc";0.718821933793205;0.855472350025562;0.718821933793205;"Good";"Planteplankton";"TP vinter"
"0101010306-C";"2017-2019";"NTSM100pc";0.733221455859937;0.858212114384995;0.733221455859937;"Good";"Planteplankton";"TP vinter"
"0101010306-C";"2017-2019";"Scenario A";0.703471502057147;0.725536942696371;0.703471502057147;"Good";"Planteplankton";"NO3-N sommer"
"0101010306-C";"2017-2019";"Scenario B";0.710542296787465;0.758497088174665;0.710542296787465;"Good";"Planteplankton";"NO3-N sommer"
"0101010401-C";"2017-2019";"baseline";0.710526336826301;0.623297706819406;0.710526336826301;"Good";"Planteplankton";"Siktdyp"
"0101010401-C";"2017-2019";"DIN100pc";0.746340981028686;0.796120996512005;0.746340981028686;"Good";"Planteplankton";"Siktdyp"
"0101010401-C";"2017-2019";"DINP100pc";0.74987524585527;0.812790755364995;0.74987524585527;"Good";"Planteplankton";"Siktdyp"
