"WB";"Indicator";"Period";"Value";"Type";"Salinity";"Kvalitetselement";"Indikator";"Ref";"HG";"GM";"MP";"PB";"Worst";"EQR";"Status";"StatusVN";"EQR_VN";"ParameterVN"
"0101000030-1-C";"TN_summer";"2019";178.959423455721;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TN_summer";"2017-2019";170.828325620299;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TN_winter";"2017";222.460538327149;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TN_winter";"2018";191.745753722391;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TN_winter";"2019";200.82794805593;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TN_winter";"2017-2019";206.119752367846;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-1-C";"TP_summer";"2017";3.59272201938156;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_summer";"2018";2.15427570726716;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_summer";"2019";3.42016679168401;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_summer";"2017-2019";3.05572150435156;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_winter";"2017";25.0738632650654;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.599131020410995;"Moderate";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_winter";"2018";14.4230904089358;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_winter";"2019";13.9501240896895;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-1-C";"TP_winter";"2017-2019";15.9210930433417;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"Chl";"2017";2.74435842542577;"S1";"Skagerak (> 25)";"Planteplankton";"Klorofyll a";2.3;3.5;7;11;20;NA;0.925940262429038;"High";"God";0.7;"Klorofyll a"
"0101000030-2-C";"Chl";"2018";3.65863585531563;"S1";"Skagerak (> 25)";"Planteplankton";"Klorofyll a";2.3;3.5;7;11;20;NA;0.790935093981964;"Good";"God";0.7;"Klorofyll a"
"0101000030-2-C";"Chl";"2019";4.19268762678874;"S1";"Skagerak (> 25)";"Planteplankton";"Klorofyll a";2.3;3.5;7;11;20;NA;0.760417849897786;"Good";"God";0.7;"Klorofyll a"
"0101000030-2-C";"Chl";"2017-2019";3.59051738058837;"S1";"Skagerak (> 25)";"Planteplankton";"Klorofyll a";2.3;3.5;7;11;20;NA;0.794827578252093;"Good";"God";0.7;"Klorofyll a"
"0101000030-2-C";"H";"2017";0.69916011526612;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"H'";1;0.8;0.6;0.4;0.2;0;0.69916011526612;"Good";"Svært god";0.9;"Shannon-Wiener diversitetsindeks H for grabbgjennomsnitt"
"0101000030-2-C";"H";"2018";0.664451131477264;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"H'";1;0.8;0.6;0.4;0.2;0;0.664451131477264;"Good";"Svært god";0.9;"Shannon-Wiener diversitetsindeks H for grabbgjennomsnitt"
"0101000030-2-C";"H";"2019";0.70755703378898;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"H'";1;0.8;0.6;0.4;0.2;0;0.70755703378898;"Good";"Svært god";0.9;"Shannon-Wiener diversitetsindeks H for grabbgjennomsnitt"
"0101000030-2-C";"H";"2017-2019";0.690389426844121;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"H'";1;0.8;0.6;0.4;0.2;0;0.690389426844121;"Good";"Svært god";0.9;"Shannon-Wiener diversitetsindeks H for grabbgjennomsnitt"
"0101000030-2-C";"MSMDI";"2017";0.658114333532881;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.658114333532881;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000030-2-C";"MSMDI";"2018";0.609425542167303;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.609425542167303;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000030-2-C";"MSMDI";"2019";0.560373636250315;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.560373636250315;"Moderate";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000030-2-C";"MSMDI";"2017-2019";0.6093045039835;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.6093045039835;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000030-2-C";"NQI1";"2017";0.657175320828741;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.657175320828741;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-2-C";"NQI1";"2018";0.67417376241593;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.67417376241593;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-2-C";"NQI1";"2019";0.638452700459884;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.638452700459884;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-2-C";"NQI1";"2017-2019";0.656600594568185;"S1";"Skagerak (> 25)";"Bløtfunnsfauna";"NQI - EQR";1;0.8;0.6;0.4;0.2;0;0.656600594568185;"Good";"God";0.7;"Norsk kvalitetsindeks NQI1 marin bløtbunnsfauna/Norsk kvalitetsindeks NQI1 for grabbgjennomsnitt"
"0101000030-2-C";"Secchi";"2017";12.7285670095612;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-2-C";"Secchi";"2018";13.4008699225742;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-2-C";"Secchi";"2019";12.8433340323308;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-2-C";"Secchi";"2017-2019";12.9909236489186;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Siktdyp (m), sommer";NA;7.5;6;4.5;2.5;NA;0.9;"High";"God";0.7;"Siktedyp"
"0101000030-2-C";"TN_summer";"2017";145.743394024057;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_summer";"2018";155.719734315563;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_summer";"2019";154.577781653464;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_summer";"2017-2019";152.013637219284;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), sommer";NA;250;330;500;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_winter";"2017";212.486421038088;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_winter";"2018";176.144237423181;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_winter";"2019";180.771020951116;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TN_winter";"2017-2019";186.768567401572;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total nitrogen (µg N/l), vinter";NA;291;380;560;800;NA;0.9;"High";"Svært god";0.9;"Totalnitrogen"
"0101000030-2-C";"TP_summer";"2017";3.21524617951038;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_summer";"2018";2.05445156300306;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_summer";"2019";2.91171538480499;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_summer";"2017-2019";2.72713770680222;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), sommer";NA;11.5;16;29;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_winter";"2017";25.6231764953333;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.592668511819609;"Moderate";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_winter";"2018";14.4344896536664;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_winter";"2019";13.491497020546;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000030-2-C";"TP_winter";"2017-2019";15.8709789238071;"S1";"Skagerak (> 25)";"Fysisk-kjemiske";"Total fosfor (µg P/l), vinter";NA;20;25;42;60;NA;0.9;"High";"Moderat";0.5;"Totalfosfor"
"0101000031-C";"MSMDI";"2017";0.747057455378971;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.747057455378971;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000031-C";"MSMDI";"2018";0.677779643992526;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.677779643992526;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000031-C";"MSMDI";"2019";0.60982758855271;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.60982758855271;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
"0101000031-C";"MSMDI";"2017-2019";0.678221562641402;"S1";"Skagerak (> 25)";"Makroalger";"MSMDI (Nedre voksegrense) - EQR";1;0.8;0.6;0.4;0.2;0;0.678221562641402;"Good";"Moderat";0.5;"Maksdypindeks makroalger, åpen eksponert kyst MSMDI1"
