EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0420030600-5-C;0420030600-5-C;Bukta og utløpet til Altaelva
NO0423020300-1-C;0423020300-1-C;Syltefjorden - Nordfjorden innenfor molo
NO0423020300-5-C;0423020300-5-C;Syltefjorden - deponi
NO0423020300-4-C;0423020300-4-C;Syltefjorden
NO0363020700-1-C;0363020700-1-C;Rognan
NO0320011100-7-C;0320011100-7-C;Vågen, Storfosna
NO0320011100-8-C;0320011100-8-C;Kråkvågfjorden
NO0320011000-4-C;0320011000-4-C;Skjeret
NO0401030700-2-C;0401030700-2-C;Dyrøysundet Dyreøysundbrua
NO0401030700-1-C;0401030700-1-C;Dyrøysundet
NO0403040500-2-C;0403040500-2-C;Straumfjordnes - Straumfjorden
NO0322030100-4-C;0322030100-4-C;Hopen
NO0320050100-9-C;0320050100-9-C;Leirvågen
NO0320050100-8-C;0320050100-8-C;Fillfjorden
NO0320050300-1-C;0320050300-1-C;Kvernhusvika
NO0321030500-10-C;0321030500-10-C;Herfjorden
NO0201020500-2-C;0201020500-2-C;Tjørsvågbukta
NO0201020500-1-C;0201020500-1-C;Lafjord
NO0322030100-3-C;0322030100-3-C;Innerhopen
NO0303011202-4-C;0303011202-4-C;Bolgvågen
NO0242020801-1-C;0242020801-1-C;Hidlesund nord
NO0242020801-2-C;0242020801-2-C;Gapafjorden
NO0301021002-2-C;0301021002-2-C;Storfjorden ved Stranda
NO0301021002-1-C;0301021002-1-C;Storfjorden-indre
NO0363041200-4-C;0363041200-4-C;Buksnesfjorden-ytre
NO0361050200-3-C;0361050200-3-C;Herøysundet
NO0361050200-4-C;0361050200-4-C;Husværfjorden
NO0363000030-7-C;0363000030-7-C;Helligvær - ytterside Landegode
NO0364000030-11-C;0364000030-11-C;Kabelvåg havn
NO0364000030-10-C;0364000030-10-C;Vestfjorden-indre
NO0363000030-11-C;0363000030-11-C;Stamsund havn
NO0363041200-5-C;0363041200-5-C;Petvik
NO0361030800-1-C;0361030800-1-C;Tjøtta Havn
NO0361030800-2-C;0361030800-2-C;Tjøttfjorden-indre
NO0423020200-9-C;0423020200-9-C;Båtsfjord / deponi
NO0423020200-10-C;0423020200-10-C;Båtsfjorden-ytre
NO0365000031-1-C;0365000031-1-C;Hovden havn
NO0423000030-4-C;0423000030-4-C;Vargvikholmen
NO0422021200-2-C;0422021200-2-C;Mehamn havn
NO0361040700-4-C;0361040700-4-C;Sandnessjøen småbåthavn
NO0361040700-3-C;0361040700-3-C;Ulvangen
NO0420040602-2-C;0420040602-2-C;Dønnesfjorden
NO0420040602-1-C;0420040602-1-C;Galtefjorden
NO0423020200-5-C;0423020200-5-C;Båtsfjorden-indre
NO0421031100-2-C;0421031100-2-C;Lafjorden
NO0423020200-6-C;0423020200-6-C;Båtsfjord Ytre havn
NO0421031100-1-C;0421031100-1-C;Vester-Lafjorden
NO0421010500-1-C;0421010500-1-C;Repparfjorden ytre
NO0421010500-2-C;0421010500-2-C;Repparfjorden indre
NO0320050300-3-C;0320050300-3-C;Dolmsundet, øst for brua
NO0320050300-4-C;0320050300-4-C;Dolmsundet
NO0420000030-4-C;0420000030-4-C;Bukt nord for Bjørndalen
NO0420000030-3-C;0420000030-3-C;Lopphavet
NO0402020900-5-C;0402020900-5-C;Tromsdalselva-Utløp
NO0402020900-7-C;0402020900-7-C;Tromsdalen småbåthavn
NO0403020500-2-C;0403020500-2-C;Ullsfjorden
NO0403040102-2-C;0403040102-2-C;Sørstraumen  Kvænangen
NO0403040102-1-C;0403040102-1-C;Kvænangen - Årøyan
NO0320040100-5-C;0320040100-5-C;Synnavika småbåthavn
NO0320040100-8-C;0320040100-8-C;Røysa småbåthavn
NO0320040100-7-C;0320040100-7-C;Trondheimsfjorden - Brekstad
NO0320011000-5-C;0320011000-5-C;Vorpa småbåthavn
NO0320011000-6-C;0320011000-6-C;Verrafjorden
NO0320010201-11-C;0320010201-11-C;Innervågen småbåthavn
NO0403020500-1-C;0403020500-1-C;Storstraumen ytre - Ullsfjorden
NO0120000032-3-C;0120000032-3-C;Arendal - Tromøy
NO0261020800-4-C;0261020800-4-C;Helles- , Eikangervåg
NO0261020800-3-C;0261020800-3-C;Osterfjorden
NO0401010501-1-C;0401010501-1-C;Straumen indre Kvæfjord
NO0401010501-2-C;0401010501-2-C;Straumsbotnen
NO0120000032-4-C;0120000032-4-C;Arendal - Tromøy
NO0280020800-1-C;0280020800-1-C;Nærøyfjorden ytre
NO0261000036-2-C;0261000036-2-C;Bukter Fedje sentrum
NO0261000036-3-C;0261000036-3-C;Nordre Ålen - Nordosen
NO0261000035-1-C;0261000035-1-C;Husavatnet
NO0261000035-2-C;0261000035-2-C;Fedje Vest
NO0280020800-2-C;0280020800-2-C;Nærøyfjorden indre
NO0401010401-3-C;0401010401-3-C;Forøysundet
NO0401010401-4-C;0401010401-4-C;Gullesfjorden-indre
NO0402010300-4-C;0402010300-4-C;Litlestrand - Brensholmen
NO0261030603-2-C;0261030603-2-C;Kvolmosen
NO0261030603-1-C;0261030603-1-C;Bøvågen
NO0261030603-5-C;0261030603-5-C;Vaulevågspollen
NO0261030603-6-C;0261030603-6-C;Kvolmosen - Villangsosen
NO0261030400-16-C;0261030400-16-C;Flatøyosen 
NO0261030400-17-C;0261030400-17-C;Radfjorden
NO0261010200-6-C;0261010200-6-C;Skeisosen
NO0261010200-9-C;0261010200-9-C;Ytterøyosen
NO0261010200-8-C;0261010200-8-C;Lepsøyosen
NO0261010200-3-C;0261010200-3-C;Hauglandsosen/ Hauglandssjøen
NO0320050502-9-C;0320050502-9-C;Flatvalsundet
NO0320050502-10-C;0320050502-10-C;Frøyfjorden - indre
NO0320011000-2-C;0320011000-2-C;Åkervika
NO0120000032-2-C;0120000032-2-C;Klove-Arendal - Tromøy
NO0303011503-2-C;0303011503-2-C;Averøyfjorden
NO0303011503-1-C;0303011503-1-C;Henvika
NO0320040500-12-C;0320040500-12-C;Petterhavna - Reinsgrenda
NO0320040500-15-C;0320040500-15-C;Sjursvika
NO0321000031-32-C;0321000031-32-C;Madsvågen
NO0321000031-33-C;0321000031-33-C;Sistrandsva
NO0320040500-17-C;0320040500-17-C;Røbergneset - Bekkjaneset
NO0320040500-16-C;0320040500-16-C;Trondheimsfjorden - Agdenes
NO0320040900-10-C;0320040900-10-C;Trondheimsfjorden - Trondheim
NO0320040100-4-C;0320040100-4-C;Austrått
NO0320000031-30-C;0320000031-30-C;Straumøyvågen
NO0320000031-34-C;0320000031-34-C;Sula indre havn
NO0320000031-32-C;0320000031-32-C;Sulfjorden
NO0320040500-10-C;0320040500-10-C;Junkersbukta
NO0260010400-2-C;0260010400-2-C;Rødspollen
NO0260010400-1-C;0260010400-1-C;Førdespollen
NO0320000031-26-C;0320000031-26-C;Måsøyvalen
NO0320000031-25-C;0320000031-25-C;Nordskagsvaet
NO0320000031-28-C;0320000031-28-C;Strømøybotnen
NO0321000032-7-C;0321000032-7-C;Melemsvika
NO0321000032-9-C;0321000032-9-C;Skipparvika
NO0321000032-10-C;0321000032-10-C;Frohavet Sør
NO0321030402-1-C;0321030402-1-C;Skråfjorden
NO0321030100-5-C;0321030100-5-C;Tiltremsvika
NO0321030100-6-C;0321030100-6-C;Lauvøyfjorden
NO0321000032-5-C;0321000032-5-C;Kjempa - Mandal
NO0321040100-2-C;0321040100-2-C;Sunnskjørin
NO0321040100-1-C;0321040100-1-C;Skjørafjorden
NO0321030500-6-C;0321030500-6-C;Hosnavika
NO0321030500-8-C;0321030500-8-C;Grimsneset
NO0321030402-2-C;0321030402-2-C;Barøybukta - Eidemsbukta
NO0321000031-31-C;0321000031-31-C;Knarrlagsundet
NO0321000031-30-C;0321000031-30-C;Frohavet
NO0322000030-17-C;0322000030-17-C;Bessaker småbåthavn
NO0322000030-16-C;0322000030-16-C;Frohavet-nord
NO0322010100-2-C;0322010100-2-C;Einardalsvågen
NO0322010100-1-C;0322010100-1-C;Brandsfjorden
NO0320050502-7-C;0320050502-7-C;Nord-Dolmvågen
NO0322000030-11-C;0322000030-11-C;Ramsøyvika
NO0322000030-13-C;0322000030-13-C;Nesaskjeret, øst
NO0320050401-2-C;0320050401-2-C;SLETTES
NO0322000030-15-C;0322000030-15-C;Engensvika
NO0320050502-8-C;0320050502-8-C;Jektvika
NO0260010501-4-C;0260010501-4-C;Hellandsfjorden
NO0322000030-8-C;0322000030-8-C;Setervågen
NO0201020700-1-C;0201020700-1-C;Logakanalen
NO0242020601-1-C;0242020601-1-C;Helgøysundet
NO0340020001-2-C;0340020001-2-C;Ivarsøyråsa - Svaet
NO0242020601-2-C;0242020601-2-C;Hidlesund sør 
NO0260040900-2-C;0260040900-2-C;Sørfjorden Ytre del
NO0242020602-2-C;0242020602-2-C;Nådåsundet
NO0242020602-1-C;0242020602-1-C;Finnøyfjorden
NO0340020001-1-C;0340020001-1-C;Leirvika
NO0260040900-1-C;0260040900-1-C;Sørfjorden Indre del
NO0301021203-1-C;0301021203-1-C;Åsefjorden indre
NO0121000100-1-C;0121000100-1-C;Fevikkilen, indre
NO0121000100-2-C;0121000100-2-C;Fevikkilen, ytre
NO0303011202-5-C;0303011202-5-C;Bolgsvaet ved Husøya
NO0303011202-6-C;0303011202-6-C;Bolgsvaet
NO0301021203-2-C;0301021203-2-C;Åsefjorden ytre
NO0301010700-5-C;0301010700-5-C;Voldsfjorden
NO0363000030-8-C;0363000030-8-C;Henningsvær havn
NO0301010700-3-C;0301010700-3-C;Voldsfjorden
NO0301010700-6-C;0301010700-6-C;Voldsfjorden ved Volda
NO0301011000-2-C;0301011000-2-C;Ørstafjorden indre
NO0301011000-1-C;0301011000-1-C;Ørstafjorden
NO0302012400-3-C;0302012400-3-C;Frænfjorden sør, Hoem
NO0301020200-4-C;0301020200-4-C;Sulafjorden ved Hareid
NO0301020200-1-C;0301020200-1-C;Sulafjorden
NO0301021300-4-C;0301021300-4-C;Langevågen
NO0302012400-4-C;0302012400-4-C;Frænfjorden ytre
NO0302010600-2-C;0302010600-2-C;Samfjorden ved Brattvåg
NO0302010600-1-C;0302010600-1-C;Samfjorden
NO0301021800-1-C;0301021800-1-C;Ellingsøyfjorden-Svinøya til Årsetvågen
NO0301021800-2-C;0301021800-2-C;Ellingsøyfjorden-ytre
NO0301021300-5-C;0301021300-5-C;Åregjerdevågen - Fyllingen
NO0302012400-2-C;0302012400-2-C;Elnesvågen
NO0302011600-1-C;0302011600-1-C;Isfjorden ved Åndalsnes
NO0303011400-5-C;0303011400-5-C;Smedvågen
NO0303011400-6-C;0303011400-6-C;Bremsnesfjorden
NO0302011400-1-C;0302011400-1-C;Romsdalsfjorden - Torvikeidet
NO0302011600-2-C;0302011600-2-C;Isfjorden
NO0130000200-1-C;0130000200-1-C;Ytre Sandvikdalsfjorden
NO0130000031-3-C;0130000031-3-C;Kilen
NO0130000031-4-C;0130000031-4-C;Herøyfjorden - Sandvikdalsfjorden
NO0130000200-2-C;0130000200-2-C;Indre Sandvikdalsfjorden
NO0302011001-1-C;0302011001-1-C;Tresfjord midtre
NO0302011001-2-C;0302011001-2-C;Tresfjord-indre
NO0301011100-2-C;0301011100-2-C;Vartdalsfjorden ved Søre Vartdal
NO0301011100-1-C;0301011100-1-C;Vartdalsfjorden
NO0301020300-2-C;0301020300-2-C;Valane
NO0301020300-1-C;0301020300-1-C;Storfjorden-ytre
NO0303011400-3-C;0303011400-3-C;Kystvågen
NO0302012300-4-C;0302012300-4-C;Buktin
NO0302012300-3-C;0302012300-3-C;Harøyfjorden, Buadjupet, Julsundet
NO0301010501-4-C;0301010501-4-C;Larsnes
NO0303021002-4-C;0303021002-4-C;Skålvikfjorden-indre
NO0303011400-1-C;0303011400-1-C;Flatsetsundet
NO0303021003-1-C;0303021003-1-C;Skålvikfjorden-ytre
NO0303021002-3-C;0303021002-3-C;Skålvikfjorden ved Kløvset
NO0303010902-7-C;0303010902-7-C;Sunndalsfjorden
NO0303021002-2-C;0303021002-2-C;Skålvikfjorden ved Vågland
NO0320041500-4-C;0320041500-4-C;Beitstadfjorden
NO0321000032-4-C;0321000032-4-C;Bålsfjorden - Sandnesvågen
