EUVANNFOREKOMSTID;VANNFOREKOMSTID;VANNFOREKOMSTNAVN
NO0420040400-C;0420040400-C;Ofjorden
NO0240000500-C;0240000500-C;Nordfjorden
NO0424000030-C;0424000030-C;Blodskytodden - Vardø fyr
NO0131010200-C;0131010200-C;Høllefjorden
NO0280010900-C;0280010900-C;Sognesjøen
NO0242040103-C;0242040103-C;Karmsundet - Storasund
NO0120010101-2-C;0120010101-2-C;Østre Nordfjorden
NO0420000031-C;0420000031-C;Trombak - Tarhalsen
NO0201011200-C;0201011200-C;Helvikfjorden
NO0362010102-C;0362010102-C;Alsøvågen
NO0360010400-1-C;0360010400-1-C;Kjærstadvalen
NO0364030200-C;0364030200-C;Ballangen
NO0362010400-C;0362010400-C;Ranfjorden - Løkta
NO0120000031-2-C;0120000031-2-C;Gåsholmen - Kalvøya
NO0362011000-2-C;0362011000-2-C;Ranfjorden - Mo
NO0422021000-C;0422021000-C;Oksefjorden
NO0301021201-C;0301021201-C;Eidssundet
NO0361030400-C;0361030400-C;Stokkafjorden
NO0424030300-C;0424030300-C;Neidenfjorden
NO0120030100-C;0120030100-C;Flosterfjorden
NO0281010800-C;0281010800-C;Norddalsfjorden
NO0361020300-1-C;0361020300-1-C;Buåsvågen
NO0322030200-C;0322030200-C;Vingan
NO0402021100-C;0402021100-C;Nordbotn
NO0120000031-3-C;0120000031-3-C;Sandøyfjorden
NO0132030100-C;0132030100-C;Tjømsvågen
NO0302010500-C;0302010500-C;Harøyfjorden
NO0101010402-C;0101010402-C;Tosekilen
NO0280020602-C;0280020602-C;Arnafjorden
NO0340020402-C;0340020402-C;Lauvsneselva
NO0403030501-C;0403030501-C;Kåfjorden-indre
NO0403030900-C;0403030900-C;Kågsundet
NO0302012500-C;0302012500-C;Malmefjorden
NO0363032100-C;0363032100-C;Leinesfjorden
NO0364030700-2-C;0364030700-2-C;Bogen
NO0424030601-C;0424030601-C;Langfjorden-indre
NO0403010600-C;0403010600-C;Dåfjorden
NO0261010600-C;0261010600-C;Kobbaleia
NO0260041600-C;0260041600-C;Øynefjorden
NO0361040400-C;0361040400-C;Botnfjorden
NO0301011203-C;0301011203-C;Botnavika
NO0301021500-C;0301021500-C;Ellingsøyfjorden-Svinøya til Dyrøya
NO0361000031-C;0361000031-C;Floholmene
NO0131010100-1-C;0131010100-1-C;Hundsøyfjorden
NO0303021300-C;0303021300-C;Edøyfjorden
NO0362040300-1-C;0362040300-1-C;Skardsfjorden-indre
NO0402021500-C;0402021500-C;Skagøysundet
NO0303000033-C;0303000033-C;Lauvøysvaet
NO0420030502-C;0420030502-C;Kåfjorden
NO0320050402-C;0320050402-C;Helgebustadvågen
NO0420022200-C;0420022200-C;Kobbefjorden
NO0303011202-2-C;0303011202-2-C;Bolgsvaet ved Remlan
NO0363030702-C;0363030702-C;Nevelsfjord-ytre
NO0110000701-C;0110000701-C;Stølefjorden
NO0421030800-C;0421030800-C;Kobbefjorden
NO0364011200-C;0364011200-C;Lilandspollen
NO0363010600-3-C;0363010600-3-C;Sørfjorden-ytre
NO0242020200-C;0242020200-C;Brimsefjorden
NO0282012402-C;0282012402-C;Sørpollen-ytre
NO0260050700-C;0260050700-C;Ådlandsfjorden
NO0424020300-C;0424020300-C;Meskfjorden
NO0120000031-1-C;0120000031-1-C;Sildodden - Flostaøya
NO0320010400-C;0320010400-C;Røstøyfjorden
NO0260041000-C;0260041000-C;Eidfjorden
NO0260010200-C;0260010200-C;Møstrevågen
NO0364040100-2-C;0364040100-2-C;Ramsundet-søndre
NO0301021102-1-C;0301021102-1-C;Rusetbugen
NO0423020101-C;0423020101-C;Strømmen
NO0422010801-C;0422010801-C;Risfjorden
NO0365020300-C;0365020300-C;Slåttnesbogen
NO0101020102-2-C;0101020102-2-C;Risholmsundet
NO0363032300-2-C;0363032300-2-C;Skotsfjorden-ytre
NO0365011600-C;0365011600-C;Lifjorden
NO0281010201-2-C;0281010201-2-C;Førdefjorden-indre
NO0360020300-2-C;0360020300-2-C;Røyrskjeran
NO0320050200-C;0320050200-C;Barmfjorden
NO0421020400-C;0421020400-C;Reinøysundet
NO0303010901-C;0303010901-C;Sunndalsfjorden ved Sunndalsøra
NO0363010900-1-C;0363010900-1-C;Beiarfjorden-ytre
NO0260030700-C;0260030700-C;Horgefjorden
NO0363041900-2-C;0363041900-2-C;Gimsøystraumen
NO0361040102-2-C;0361040102-2-C;Vefsnfjorden-ytre
NO0242030601-C;0242030601-C;Erfjorden
NO0422020300-C;0422020300-C;Storfjorden
NO0421031000-C;0421031000-C;Magerøysundet-øst
NO0363042000-3-C;0363042000-3-C;Sundklakkstraumen
NO0401010900-C;0401010900-C;Grunnfarsnesbotnen
NO0282010500-C;0282010500-C;Hornelsfjorden
NO0362030100-C;0362030100-C;Risværfjorden
NO0363050700-C;0363050700-C;Røsthavet-ytre
NO0363021102-C;0363021102-C;Valnesfjorden
NO0363011200-3-C;0363011200-3-C;Hjartøysundet - Nyholmsundet
NO0121000200-C;0121000200-C;Vikkilen
NO0363041402-C;0363041402-C;Finnstadpollen
NO0365020500-C;0365020500-C;Bjørndalsfjorden
NO0261010903-C;0261010903-C;Toftosen
NO0362040300-2-C;0362040300-2-C;Skardsfjorden-ytre
NO0362040500-C;0362040500-C;Nordfjorden
NO0282000031-C;0282000031-C;Bremangerpollen
NO0242030602-C;0242030602-C;Bogsfjorden
NO0280020100-2-C;0280020100-2-C;Årdalsfjorden-ytre
NO0242040500-2-C;0242040500-2-C;Falkeidflæet
NO0121000300-3-C;0121000300-3-C;Grimstad
NO0364020700-2-C;0364020700-2-C;Haukøyfjorden
NO0360011100-2-C;0360011100-2-C;Tosen-indre
NO0110021000-1-C;0110021000-1-C;Kragerøfjorden-ytre
NO0280022000-C;0280022000-C;Vadheimsfjorden
NO0242011202-C;0242011202-C;Hølefjorden
NO0341020500-C;0341020500-C;Kvisten
NO0242010402-C;0242010402-C;Klostervågen
NO0420021000-C;0420021000-C;Skreifjorden
NO0364050301-2-C;0364050301-2-C;Raftsundet
NO0302010400-C;0302010400-C;Fjørtoftfjorden
NO0363050400-C;0363050400-C;Nordlandsflaget-indre
NO0242031300-C;0242031300-C;Yrkefjorden
NO0365020801-1-C;0365020801-1-C;Vestpollen
NO0320020600-C;0320020600-C;Vinjefjorden-indre
NO0242031600-C;0242031600-C;Hervikfjorden
NO0423011500-C;0423011500-C;Smalfjorden
NO0130010500-C;0130010500-C;Ålefjærfjorden
NO0361010300-C;0361010300-C;Gladstadosen
NO0242020400-C;0242020400-C;Ølesundet
NO0420031600-2-C;0420031600-2-C;Rypefjorden
NO0320020800-C;0320020800-C;Årvågfjorden
NO0132010300-C;0132010300-C;Hillevågen
NO0280010201-C;0280010201-C;Ånnelandssundet-ytre
NO0301011502-C;0301011502-C;Herøyfjorden
NO0261000031-C;0261000031-C;Fjellspollen-Trengereidpollen
NO0364021202-6-C;0364021202-6-C;Efjorden-midtre
NO0401020500-1-C;0401020500-1-C;Harstadbassenget Russevika - Brurvika
NO0424020800-C;0424020800-C;Kobbholmfjorden
NO0110000200-C;0110000200-C;Nevlunghavn - Havnebukta
NO0365020902-1-C;0365020902-1-C;Storøya-nord
NO0260050302-C;0260050302-C;Lygrespollen-ytre
NO0362010600-C;0362010600-C;Leirviken
NO0321030401-C;0321030401-C;Grytfjorden
NO0130010400-1-C;0130010400-1-C;Topdalsfjorden-indre
NO0260010504-C;0260010504-C;Øklandsosen
NO0110010402-C;0110010402-C;Langangsfjorden
NO0132030400-C;0132030400-C;Remefjorden
NO0302012000-C;0302012000-C;Veøyfjorden
NO0361020900-C;0361020900-C;Okfjorden
NO0363030303-C;0363030303-C;Sørfjorden-ytre
NO0101010407-C;0101010407-C;Asmalsundet
NO0364021100-C;0364021100-C;Skrovkjosen
NO0201011300-C;0201011300-C;Framvaren
NO0402011000-C;0402011000-C;Nordfjorden
NO0341010200-C;0341010200-C;Namsenosen
NO0120030600-1-C;0120030600-1-C;Hovekilen-ytre
NO0420030900-C;0420030900-C;Korsfjorden
NO0242021000-C;0242021000-C;Jøsenfjorden
NO0110000600-C;0110000600-C;Trosbyfjorden
NO0421010700-C;0421010700-C;Lillefjorden
NO0121020400-C;0121020400-C;Røynevardsfjorden
NO0363021000-C;0363021000-C;Klungsetvika
NO0360010900-C;0360010900-C;Kollbotnet
NO0363032200-C;0363032200-C;Lilandsfjorden
NO0260050301-C;0260050301-C;Lygrespollen-indre
NO0363042500-2-C;0363042500-2-C;Grunnførfjorden-ytre
NO0362030602-3-C;0362030602-3-C;Værangen-midtre
NO0320030104-C;0320030104-C;Hemnfjorden - Kyrksæterøra
NO0423011601-C;0423011601-C;Tanaelva
NO0401030300-2-C;0401030300-2-C;Finnfjorden-ytre
NO0260020900-C;0260020900-C;Klosterfjorden
NO0401010702-C;0401010702-C;Selfjorden-midtre
NO0101021000-C;0101021000-1-C;Breiangen-vest
NO0101021000-C;0101021000-2-C;Langøya
NO0260010300-C;0260010300-C;Bømlafjorden
NO0362000032-C;0362000032-C;Vestfjorden-ytre
NO0365010400-1-C;0365010400-1-C;Ytterfjorden - Innerfjorden
NO0363042700-1-C;0363042700-1-C;Tangstadpollen
NO0120030300-C;0120030300-C;Hølen
NO0365010101-C;0365010101-C;Morfjorden-indre
NO0362010200-C;0362010200-C;Vågsvågen
NO0343010101-C;0343010101-C;Årsetfjorden
NO0421031400-C;0421031400-C;Tufjorden
NO0301021400-C;0301021400-C;Heissafjorden
NO0282012300-1-C;0282012300-1-C;Ulvesundet - Raudeberg
NO0280011000-C;0280011000-C;Nessefjorden
NO0360020700-2-C;0360020700-2-C;Salhus
NO0282010200-C;0282010200-C;Sørgulen
NO0110021000-2-C;0110021000-2-C;Kragerøfjorden-indre
NO0120010502-1-C;0120010502-1-C;Sandesfjorden
NO0280030500-C;0280030500-C;Åfjorden
NO0361030600-C;0361030600-C;Sørfjorden
NO0363031000-2-C;0363031000-2-C;Tørrfjordelva
NO0260010100-1-C;0260010100-1-C;Nordrasundet
NO0364020300-2-C;0364020300-2-C;Hellmofjorden-ytre
NO0341011001-C;0341011001-C;Nordsundet
NO0420020300-C;0420020300-C;Nuvsfjorden
NO0302011800-C;0302011800-C;Langfjorden
NO0361030100-C;0361030100-C;Velvelstadsundet
NO0280030600-C;0280030600-C;Hyllestadfjorden
NO0403010100-C;0403010100-C;Andamsfjord
NO0260020200-C;0260020200-C;Bjoafjorden
NO0361040300-2-C;0361040300-2-C;Leirfjorden-indre
NO0361020100-2-C;0361020100-2-C;Velfjorden
NO0422000031-C;0422000031-C;Kinnarodden - Vardnesodden
NO0403031000-C;0403031000-C;Langfjorden
NO0120020400-1-C;0120020400-1-C;Oksefjorden-ytre
NO0420021100-C;0420021100-C;Jøfjorden
NO0280010500-C;0280010500-C;Eidsfjorden
NO0302010701-C;0302010701-C;Vatnefjord-indre
NO0120000034-C;0120000034-C;Merdø - Hasseltangen
NO0303020300-C;0303020300-C;Todalsfjorden
NO0242000032-C;0242000032-C;Sirafjorden
NO0260040800-C;0260040800-C;Samlafjorden
NO0363050300-2-C;0363050300-2-C;Sørlandsvika
NO0361030202-3-C;0361030202-3-C;Langkilvågen-ytre
NO0320041200-3-C;0320041200-3-C;Haugsandgrunnen - Hestøygrunnen
NO0403010300-C;0403010300-C;Bårdsetsundet
NO0280011102-C;0280011102-C;Liasundet - Lågøysundet
NO0363040900-C;0363040900-C;Nusfjord
NO0280021301-C;0280021301-C;Sogndalsfjorden
NO0303021001-C;0303021001-C;Reitvågen
NO0422010500-C;0422010500-C;Smørfjorden
NO0363010700-1-C;0363010700-1-C;Morsdalsfjorden-indre
NO0360020600-1-C;0360020600-1-C;Hjartøybukta
NO0401020200-C;0401020200-C;Kværnsundet
NO0365000030-1-C;0365000030-1-C;Skjørisen
NO0363031400-C;0363031400-C;Vinkfjorden
NO0341011400-2-C;0341011400-2-C;Faksdalsvågen
NO0301021001-C;0301021001-C;Nordalsfjorden
NO0260030100-1-C;0260030100-1-C;Selbjørnsfjorden
NO0422010702-C;0422010702-C;Soggovutna
NO0420040702-C;0420040702-C;Sandøyfjorden
NO0282011700-C;0282011700-C;Hyefjorden
NO0422010802-C;0422010802-C;Skipsfjorden
NO0361050800-C;0361050800-C;Søråsværfjorden
NO0361030202-2-C;0361030202-2-C;Langkilvågen-indre
NO0320040600-C;0320040600-C;Korsfjorden
NO0242030700-C;0242030700-C;Økstrafjorden
NO0341010302-C;0341010302-C;Tøttdalsbotnen
NO0420022500-C;0420022500-C;Meltefjorden
NO0260000031-C;0260000031-C;Bømlo-indre
NO0320010600-C;0320010600-C;Røstkvervet
NO0101030101-3-C;0101030101-3-C;Byfjorden
NO0261010500-C;0261010500-C;Raunefjorden
NO0361040300-1-C;0361040300-1-C;Leirfjorden-ytre
NO0365020200-1-C;0365020200-1-C;Langøysundet
NO0110010300-C;0110010300-C;Håøyafjorden
NO0365020902-4-C;0365020902-4-C;Pollen
NO0242010500-1-C;0242010500-1-C;Byfjorden - Åmøyfjorden
NO0420030402-C;0420030402-C;Langfjorden-ytre
NO0365011200-C;0365011200-C;Risøysundet-indre
NO0110020900-C;0110020900-C;Hellefjorden
NO0260050801-C;0260050801-C;Samnangerfjorden-indre
NO0101010303-C;0101010303-C;Røsneskilen
NO0422020100-2-C;0422020100-2-C;Laksefjorden-ytre
NO0401010300-2-C;0401010300-2-C;Godfjorden-ytre
NO0101010301-C;0101010301-C;Singlefjorden
NO0363000030-2-C;0363000030-2-C;Moskenesvågen
NO0363041500-3-C;0363041500-3-C;Kartfjorden
NO0423000032-C;0423000032-C;Makkaur - Blodskytodden
NO0362040800-2-C;0362040800-2-C;Meløyfjorden - Glomfjorden
NO0340010200-C;0340010200-C;Jøssundfjorden
NO0365010900-1-C;0365010900-1-C;Sørfjorden
NO0424020600-C;0424020600-C;Holmengråfjorden
NO0320021000-C;0320021000-C;Torsetsundet
NO0420022300-C;0420022300-C;Øyfjorden
NO0301020400-C;0301020400-C;Hjørundfjorden
NO0302012203-C;0302012203-C;Moldefjorden ved Molde
NO0261030203-C;0261030203-C;Trættosen - Davangervågen
NO0402010402-C;0402010402-C;Stønnesbotnen-ytre
NO0320020301-C;0320020301-C;Aursundet
NO0260030600-C;0260030600-C;Hundvågosen
NO0402010500-C;0402010500-C;Malangen - Rossfjorden
NO0363030800-C;0363030800-C;Eidekjosen
NO0242040106-2-C;0242040106-2-C;Kjellesundet
NO0240000100-C;0240000100-C;Jøssingfjord
NO0401011600-C;0401011600-C;Ersfjorden
NO0301011300-C;0301011300-C;Rundafjorden
NO0302010100-C;0302010100-C;Haramsfjorden
NO0365030700-C;0365030700-C;Vinjesundet - Skallflaget
NO0362011300-C;0362011300-C;Utskarpen
NO0320020700-C;0320020700-C;Kalvelandsvågen
NO0280022200-C;0280022200-C;Lifjorden
NO0280031600-C;0280031600-C;Aldefjorden
NO0365030500-3-C;0365030500-3-C;Sandsetfjorden
NO0280010600-C;0280010600-C;Austgulfjorden
NO0403010200-C;0403010200-C;Grøtøysundet
NO0242010701-C;0242010701-C;Stavanger havn
NO0361000030-C;0361000030-C;Ytre Vega nord
NO0401020802-C;0401020802-C;Gratangen
NO0401031000-C;0401031000-C;Laksfjorden
NO0130010400-3-C;0130010400-3-C;Kongsgårdbukta - Marviksbukta
NO0130010400-2-C;0130010400-2-C;Topdalsfjorden-ytre
NO0364040503-2-C;0364040503-2-C;Haukfjorden
NO0364050404-C;0364050404-C;Vatterfjorden
NO0365010602-1-C;0365010602-1-C;Sortlandsundet-nord-indre
NO0130000030-1-C;0130000030-1-C;Kristiansandsfjorden-ytre
NO0120020501-C;0120020501-C;Tvedestrandsfjorden
NO0130000030-2-C;0130000030-2-C;Kristiansandsfjorden - Mebø
NO0363041500-4-C;0363041500-4-C;Rolvsfjorden
NO0422010600-C;0422010600-C;Leaibevuotna
NO0402021600-C;0402021600-C;Skarsfjorden
NO0340020201-C;0340020201-C;Glasøyfjorden
NO0424020500-C;0424020500-C;Bugøyfjorden
NO0301010700-2-C;0301010700-2-C;Kilspollen
NO0422020100-1-C;0422020100-1-C;Laksefjorden-indre
NO0242031702-C;0242031702-C;Skjoldafjorden-indre
NO0362030500-C;0362030500-C;Nordfjorden
NO0423011200-C;0423011200-C;Langfjorden
NO0421010600-C;0421010600-C;Revsbotn-indre
NO0240000200-C;0240000200-C;Dyngadypet
NO0303020200-2-C;0303020200-2-C;Ålvundfjorden - Ålvund
NO0242030800-C;0242030800-C;Jelsafjorden
NO0320041800-C;0320041800-C;Verrasundet
NO0363011100-2-C;0363011100-2-C;Saltfjorden-indre
NO0421020800-C;0421020800-C;Selvika
NO0280010700-C;0280010700-C;Nordgulfjorden
NO0420040601-C;0420040601-C;Børrfjorden
NO0242020300-C;0242020300-C;Fognafjorden - Fisterfjorden
NO0132030500-C;0132030500-C;Njervefjorden
NO0301021300-1-C;0301021300-1-C;Borgundfjorden-vest
NO0260000032-C;0260000032-C;Kråkestøosen
NO0242010101-2-C;0242010101-2-C;Håsteinsfjorden mot Kvitsøy
NO0201010200-C;0201010200-C;Grønsfjorden
NO0421030400-C;0421030400-C;Eiterfjorden
NO0320020100-C;0320020100-C;Gjerdesvika
NO0242020803-C;0242020803-C;Helgøysund
NO0101040100-C;0101040100-C;Mefjorden
NO0260020801-C;0260020801-C;Høylandsundet-sør
NO0260021000-C;0260021000-C;Aslaksvika
NO0341010301-2-C;0341010301-2-C;Namsenfjorden
NO0402020100-C;0402020100-C;Ersfjorden
NO0362030300-C;0362030300-C;Melfjorden
NO0280030302-C;0280030302-C;Vilnesfjorden-ytre
NO0420020200-C;0420020200-C;Ullsfjorden
NO0363010900-2-C;0363010900-2-C;Beiarfjorden-indre
NO0422020600-C;0422020600-C;Vardnessundet - Mårøysundet
NO0261030601-C;0261030601-C;Nordangsvågen
NO0361050300-C;0361050300-C;Skagafjorden
NO0365010300-2-C;0365010300-2-C;Falkfjorden
NO0362011400-2-C;0362011400-2-C;Litlsjona
NO0261040102-C;0261040102-C;Børildosen - Åråsvågen
NO0402020900-1-C;0402020900-1-C;Tromsøysundet-sør
NO0364010800-5-C;0364010800-5-C;Innhavet-indre
NO0401011400-C;0401011400-C;Bergsfjorden
NO0360011600-2-C;0360011600-2-C;Sandvågen - Vikvågen
NO0420030700-C;0420030700-C;Leirbotnen
NO0364050102-C;0364050102-C;Øksfjorden
NO0401030900-C;0401030900-C;Tranøybotn
NO0321010200-C;0321010200-C;Lyngholmsråsa
NO0242010300-C;0242010300-C;Vistebukta
NO0110020500-C;0110020500-C;Langårdssund
NO0320030400-C;0320030400-C;Bustlisundet
NO0364040503-1-C;0364040503-1-C;Kanstadfjorden
NO0280030200-C;0280030200-C;Hagefjorden
NO0242030100-C;0242030100-C;Hylsfjorden
NO0363031700-C;0363031700-C;Mørsvikfjorden
NO0261030500-C;0261030500-C;Mangersfjorden
NO0365031100-C;0365031100-C;Straumfjorden
NO0240000030-C;0240000030-C;Dyngjadypet - Sirevåg
NO0360020100-1-C;0360020100-1-C;Sømnesvika
NO0421030602-C;0421030602-C;Østerbotn
NO0261030201-1-C;0261030201-1-C;Hjeltefjorden-nordre
NO0341011002-C;0341011002-C;Nufsfjorden
NO0303020602-C;0303020602-C;Hamnesfjord-ytre
NO0242030400-C;0242030400-C;Lovrafjorden
NO0424030602-C;0424030602-C;Langfjorden-ytre
NO0362010500-1-C;0362010500-1-C;Låvongsbukta
NO0302011500-C;0302011500-C;Innfjorden
NO0260030300-C;0260030300-C;Møkstrafjorden
NO0421000030-C;0421000030-C;Tarhalsen - Furuholmen fyr
NO0110000400-C;0110000400-C;Åbyfjorden
NO0280021800-C;0280021800-C;Lånefjorden
NO0301020900-C;0301020900-C;Geirangerfjorden
NO0403030700-C;0403030700-C;Maursundet
NO0341010900-2-C;0341010900-2-C;Røyklibotnet
NO0130010600-C;0130010600-C;Drangsvatna
NO0242020802-C;0242020802-C;Fårasundet
NO0364050403-C;0364050403-C;Vatterfjordpollen
NO0281010900-1-C;0281010900-1-C;Botnafjorden
NO0362040400-2-C;0362040400-2-C;Holandsfjorden
NO0130000101-C;0130000101-C;Kvåsefjorden-indre
NO0320020302-2-C;0320020302-2-C;Storbukta
NO0242050600-C;0242050600-C;Førlandsvågen
NO0260020700-C;0260020700-C;Matrefjorden
NO0364021202-2-C;0364021202-2-C;Vallebukta-øst
NO0121000300-2-C;0121000300-2-C;Grosfjord-ytre
NO0110021101-1-C;0110021101-1-C;Kilsfjorden
NO0242040500-1-C;0242040500-1-C;Frekasundet
NO0302000031-C;0302000031-C;Hustadvika
NO0422010701-C;0422010701-C;Vesterbotn
NO0120010201-C;0120010201-C;Sørfjorden-vestre
NO0363040700-1-C;0363040700-1-C;Selfjorden
NO0201020600-C;0201020600-C;Grisefjorden
NO0360020500-1-C;0360020500-1-C;Trælvikstraumen
NO0360010300-C;0360010300-C;Horsfjordbotnet
NO0101010408-C;0101010408-C;Løperen
NO0364040200-2-C;0364040200-2-C;Tjeldsundet-nordre
NO0302010702-C;0302010702-C;Vatnefjord-midtre
NO0365010900-2-C;0365010900-2-C;Hongfjorden
NO0261000033-C;0261000033-C;Sekkingstadosen
NO0101000031-C;0101000031-C;Svenner - Rauer
NO0261000032-C;0261000032-C;Lokøyosen
NO0360010500-2-C;0360010500-2-C;Lysfjorden
NO0362030800-C;0362030800-C;Rødøyfjorden
NO0101040500-C;0101040500-C;Naverfjorden
NO0364030402-C;0364030402-C;Narvikbukta
NO0303021101-C;0303021101-C;Imarsundet
NO0282012200-1-C;0282012200-1-C;Eidsfjorden
NO0261020500-C;0261020500-C;Eidsfjorden
NO0403030300-C;0403030300-C;Pollen
NO0121010100-C;0121010100-C;Homborsund
NO0341020600-4-C;0341020600-4-C;Innerfolda-ytre
NO0260041700-C;0260041700-C;Onarheimsfjorden
NO0365011100-6-C;0365011100-6-C;Straumvatnet
NO0362020500-2-C;0362020500-2-C;Kvarøyfjorden-ytre
NO0360011400-3-C;0360011400-3-C;Ursfjorden-indre
NO0242040400-C;0242040400-C;Boknasundet
NO0261020700-C;0261020700-C;Mofjorden
NO0101030700-C;0101030700-C;Vrengen
NO0363031900-C;0363031900-C;Folda - Andholmfjorden
NO0363041200-3-C;0363041200-3-C;Fyglsjøen
NO0365020902-5-C;0365020902-5-C;Guvåg
NO0365010602-3-C;0365010602-3-C;Gåsfjorden
NO0362020500-3-C;0362020500-3-C;Færøya
NO0360020300-3-C;0360020300-3-C;Skillbotnfjorden
NO0364010800-2-C;0364010800-2-C;Sagpollen
NO0242011101-C;0242011101-C;Idsefjorden
NO0101010302-C;0101010302-C;Svalerødkilen
NO0320040900-2-C;0320040900-2-C;Ilsvika
NO0402010102-C;0402010102-C;Øyfjorden-indre
NO0363031600-C;0363031600-C;Mørsvikbotn
NO0110010802-C;0110010802-C;Langesundsfjorden - Dypingen
NO0242040901-C;0242040901-C;Veavågen-indre
NO0364040501-C;0364040501-C;Innerfjorden
NO0362030602-2-C;0362030602-2-C;Værangen-indre
NO0421020200-C;0421020200-C;Trollsundet
NO0361040600-C;0361040600-C;Meisfjorden
NO0302011002-C;0302011002-C;Tresfjord-ytre
NO0421030300-C;0421030300-C;Havøysundet
NO0320020202-C;0320020202-C;Roksvågen
NO0132010400-C;0132010400-C;Kåfjorden
NO0261020600-C;0261020600-C;Romareimsfjorden
NO0421020502-C;0421020502-C;Ytre Pollen
NO0242040107-C;0242040107-C;Vollsvika
NO0420031200-C;0420031200-C;Store Kufjorden
NO0420022000-C;0420022000-C;Komagfjordbotn
NO0110021101-2-C;0110021101-2-C;Kilsfjorden - Høyåsen
NO0320041000-4-C;0320041000-4-C;Stjørdalshalsen
NO0363042000-1-C;0363042000-1-C;Årrvågan
NO0365010300-3-C;0365010300-3-C;Melbu fiskerihavn
NO0363040801-C;0363040801-C;Skjelfjorden-indre
NO0360011600-1-C;0360011600-1-C;Lyngværfjorden
NO0360020600-3-C;0360020600-3-C;Svarthopen
NO0101030400-C;0101030400-C;Årøysund - Hvasser
NO0363010700-2-C;0363010700-2-C;Morsdalsfjorden-ytre
NO0101030800-C;0101030800-C;Røssesundet
NO0242011401-C;0242011401-C;Lysefjorden-ytre
NO0364050700-C;0364050700-C;Ørsvåg
NO0421030900-C;0421030900-C;Magerøysundet-vest
NO0282012300-2-C;0282012300-2-C;Ulvesundet - Måløy
NO0423010300-1-C;0423010300-1-C;Tanafjorden-ytre
NO0120030600-2-C;0120030600-2-C;Hovekilen-indre
NO0303000030-C;0303000030-C;Kristiansund-ytre
NO0360010700-3-C;0360010700-3-C;Sørfjorden-ytre
NO0131000030-C;0131000030-C;Songvårfjorden - Hellefjorden
NO0364010100-C;0364010100-C;Valsvær
NO0362000031-C;0362000031-C;Ternholmfjorden
NO0424030200-C;0424030200-C;Kjøfjorden-indre
NO0303021202-C;0303021202-C;Solheimssund-ytre
NO0362030700-2-C;0362030700-2-C;Tjongsfjorden-ytre
NO0242031400-C;0242031400-C;Vatsfjorden
NO0320041300-1-C;0320041300-1-C;Børgin-ytre
NO0364030501-1-C;0364030501-1-C;Romsbakbotn
NO0423010300-2-C;0423010300-2-C;Tanafjorden-indre
NO0110021103-C;0110021103-C;Barlandkilen
NO0403011000-C;0403011000-C;Hamrefjorden
NO0261000034-C;0261000034-C;Øygarden
NO0302010703-C;0302010703-C;Vatnefjord-ytre
NO0402011200-C;0402011200-C;Sandvika
NO0365020200-2-C;0365020200-2-C;Børøysundet
NO0242031200-C;0242031200-C;Sandeidfjorden
NO0362011100-C;0362011100-C;Finneidfjorden
NO0260041500-C;0260041500-C;Fyksesund
NO0363000031-2-C;0363000031-2-C;Vågspollen
NO0365000030-2-C;0365000030-2-C;Førepollen
NO0360020900-1-C;0360020900-1-C;Kattsundet
NO0303010800-C;0303010800-C;Tingvollvågen
NO0242000030-C;0242000030-C;Jærensrev nord
NO0364050302-C;0364050302-C;Grunnfjorden
NO0362020500-5-C;0362020500-5-C;Kvarøyfjorden-indre
NO0401021300-C;0401021300-C;Bygda
NO0260041400-C;0260041400-C;Granvinfjorden
NO0364011400-C;0364011400-C;Skagstadsundet
NO0121020500-1-C;0121020500-1-C;Bliksfjorden
NO0402010401-C;0402010401-C;Stønnesbotnen-indre
NO0280022101-C;0280022101-C;Bøfjorden-indre
NO0242011000-C;0242011000-C;Hidlefjorden
NO0282010600-C;0282010600-C;Bortnefjorden
NO0242050700-C;0242050700-C;Bleivika
NO0280000030-C;0280000030-C;Sognesjøen-ytre
NO0301010903-C;0301010903-C;Austefjorden-ytre
NO0320050800-C;0320050800-C;Oksbåsundet
NO0242031701-C;0242031701-C;Grindefjorden
NO0363031100-C;0363031100-C;Leirfjorden
NO0401011500-C;0401011500-C;Steinfjorden
NO0342010300-C;0342010300-C;Risværfjorden
NO0201010600-C;0201010600-C;Indre Spindsfjorden
NO0260050400-C;0260050400-C;Sævareidfjorden
NO0401011300-C;0401011300-C;Bergsbotn i Bergsfjorden
NO0402020900-3-C;0402020900-3-C;Tromsøysundet-nord
NO0131010400-C;0131010400-C;Kumlefjorden
NO0280022102-C;0280022102-C;Bøfjorden-ytre
NO0130010700-C;0130010700-C;Vestergapet-indre
NO0240010300-C;0240010300-C;Nordresundet
NO0261030100-2-C;0261030100-2-C;Fjæreidpollen
NO0280031500-C;0280031500-C;Eidsfjorden
NO0363042103-C;0363042103-C;Limstrandpollen
NO0365010601-3-C;0365010601-3-C;Blokken
NO0362030700-1-C;0362030700-1-C;Hopen
NO0260010600-2-C;0260010600-2-C;Børøyfjorden
NO0360011400-1-C;0360011400-1-C;Ursfjorden-ytre
NO0420021500-C;0420021500-C;Skippernesfjorden
NO0424030500-2-C;0424030500-2-C;Sølferbotn
NO0363030500-C;0363030500-C;Folda
NO0363000030-3-C;0363000030-3-C;Ballstad
